host,ip,port,protocol,title,domain,country,city,link,as_organization
96.jhwsx.dns-dynamic.net,172.67.213.157,80,http,Speedtest by Ookla - The Global Broadband Speed Test,dns-dynamic.net,US,San Francisco,http://96.jhwsx.dns-dynamic.net,CLOUDFLARENET
vpn4.semomanli.dns-dynamic.net,172.66.47.14,80,http,Speedtest by Ookla - The Global Broadband Speed Test,dns-dynamic.net,US,San Francisco,http://vpn4.semomanli.dns-dynamic.net,CLOUDFLARENET
uk1.atmonamii.xyz,104.21.83.9,80,http,Speedtest by Ookla - The Global Broadband Speed Test,atmonamii.xyz,US,San Francisco,http://uk1.atmonamii.xyz,CLOUDFLARENET
it2.atmonamii.xyz,172.67.166.193,80,http,Speedtest by Ookla - The Global Broadband Speed Test,atmonamii.xyz,US,San Francisco,http://it2.atmonamii.xyz,CLOUDFLARENET
www.speedtest.net,104.17.147.22,80,http,Speedtest by Ookla - The Global Broadband Speed Test,speedtest.net,US,San Francisco,http://www.speedtest.net,CLOUDFLARENET
f.kissyou.us.kg,2606:4700:3030::ac43:de35,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://f.kissyou.us.kg,CLOUDFLARENET
0502b.wasen.us.kg,2606:4700:3031::ac43:afed,80,http,Speedtest by Ookla - The Global Broadband Speed Test,us.kg,US,San Francisco,http://0502b.wasen.us.kg,CLOUDFLARENET
f.loveq.us.kg,104.21.28.115,80,http,Just a moment...,us.kg,US,San Francisco,http://f.loveq.us.kg,CLOUDFLARENET
b.2k.cloudns.be,172.66.44.171,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.be,US,San Francisco,http://b.2k.cloudns.be,CLOUDFLARENET
ti.oto.cloudns.be,172.66.44.83,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.be,US,San Francisco,http://ti.oto.cloudns.be,CLOUDFLARENET
cp.skywork.cloudns.be,172.66.44.141,80,http,Speedtest by Ookla - The Global Broadband Speed Test,cloudns.be,US,San Francisco,http://cp.skywork.cloudns.be,CLOUDFLARENET
